uuid,titre,nb_postes,statut,rome_code,date_debut,ville,type_contrat,nb_jours_contrat,nb_mois_contrat,nb_annees_contrat,diplome_obligatoire,niveau_etude,region_sud,region_nord,region_ile,created_at,updated_at,diplome,description,telephone,email,source,source_id,employer_id,ridet,designation,forme_juridique,enseigne,ville_physique,adresse_physique,rome_code_v3
2026061906ef,1 Agent informateur et animateur jeunesse,1,ACTIVE,K1205,2026-06-12 11:00:00+11:00,KONE,CDD,0,0,0,false,4,false,true,false,2026-06-19 15:00:29+11:00,2026-06-19 15:00:29+11:00,,"<b>1 Agent informateur et animateur jeunesse (H/F)</b>, sera chargé de l’accueil, l’information, et l’orientation des usagers en face à face (entretiens individuels) ou au standard téléphonique ; l’information du public sur les services du pôle socioprofessionnel en face à face ou au standard téléphonique ; la gestion de l'activité sur le plan des formalités administratives (saisie informations état civil, projet, besoins ; l’organisation et l’animation de l’espace ; l’organisation et l’animation des ateliers d’informations - L’animation et l’organisation de l’espace d’accueil et d’information ; l’actualisation de l’affichage, les informations mises à la disposition du public - Le suivi administratif et informatique des dossiers des usagers ; la réalisation des tâches administratives de base ; l’organisation des entretiens avec le Conseiller en Insertion Socioprofessionnel (CISP) ; la gestion de l’agenda du CISP (calage des rencontres individuelles avec le CISP) ; la veille active sur les missions d’accueil, d’information et d’orientation en identifiant et en analysant les besoins des jeunes afin de proposer des projets d’actions spécifiques. Titulaire d’un Bac ou d’un titre professionnel agent d’accueil et d’information apprécié avec minimum 3 ans d’expérience exigée dans la communication ou dans l’accueil, ou dans l’information du public de l’insertion socioprofessionnelle. Maîtrise de l’outil informatique (Word, Excel…etc.). Bonnes connaissances des spécificités du public en insertion. Bonne connaissance du public jeune. Bonnes connaissances des dispositifs, partenaires, mesures et outils d’insertion. Bonnes connaissances des différents règlements en vigueur dans le cadre de l’insertion socioprofessionnelle et des démarches à suivre. Bonnes connaissances en techniques d’accueil, d’entretien individuel, d’animation de groupe. Bonnes connaissances de l’environnement socioéconomique de la Province Nord (monde de l’entreprise…). Bonne connaissance du réseau partenariale spécifique à sa zone d’intervention. Bonnes capacités à travailler en réseau multi partenarial.  Bonnes capacités relationnelles et de communication, d’écoute, d’empathie et de discrétion, motivation positive pour les actions et projets au service des jeunes. Rigueur, adaptabilité, autonomie, organisation et capacités à travailler en équipe. Esprit d’initiative et méthodique, capacités d’analyse et de synthèse. Aisance rédactionnelle. Sens de l’accueil.  Bon relationnel. Qualités relationnelles. Capacité d’expression claire et avec courtoisie ; Excellente présentation. Réserve et respect de la confidentialité. Permis B exigé. Des déplacements réguliers sur l’ensemble du territoire et auprès différents partenaires de l’insertion socioprofessionnelle. Possibilité de travailler les weekends et jours fériés. CDD à temps complet. Lieu de travail : Koné",,recrutement@cap-emploi.nc,"Pour toute information complémentaire concernant cette offre d'emploi, vous pouvez contacter les conseillers du CAP Emploi à l'adresse suivante : <a href=""mailto:recrutement@cap-emploi.nc?subject=Offre%20ODE%20%23147275%20-%201%20Agent%20informateur%20et%20animateur%20jeunesse"">recrutement@cap-emploi.nc</a>. En cliquant sur ce lien, l'objet de votre message est automatiquement renseigné avec la référence de l'offre. Sinon, merci d'indiquer impérativement le n° de l'offre dans votre message, sans quoi votre demande ne pourra pas être traitée.",ODE,,,,,,,,K1205
20260619017a,1 Commercial,1,ACTIVE,D1407,2026-06-18 11:00:00+11:00,KONE,CDD,0,0,0,false,5,false,true,false,2026-06-19 15:00:29+11:00,2026-06-19 15:00:29+11:00,,"<b>1 Commercial (H/F)</b>, sera chargé d’accueillir, conseiller et accompagner les clients professionnels et particuliers ; identifier les besoins et proposer les produits et services adaptés ; développer et fidéliser un portefeuille clients ; réaliser les devis, commandes, factures et assurer leur suivi ; promouvoir les offres commerciales et les opérations promotionnelles ; participer au développement du chiffre d'affaires du magasin ; assurer le suivi des commandes et la satisfaction client ; contribuer à la gestion des stocks et aux réapprovisionnements ; veiller à la bonne présentation du magasin et à la mise en valeur des produits ; être force de proposition pour développer l'activité sur le secteur Nord. Titulaire Bac +2 exigé. Minimum 2 ans d'expérience professionnelle dans un secteur d'activité similaire exigée. Les atouts qui feront la différence : Expérience dans la vente de pièces détachées automobiles ou de produits techniques. Connaissances en mécanique automobile ou en équipements de garage. Expérience auprès d'une clientèle de professionnels. Expérience en développement commercial ou en relation client. Aimer le contact client et savoir créer une relation de confiance. Être autonome, dynamique et organisé. Faire preuve d'initiative et d'adaptabilité. Posséder un excellent sens du service. Maîtriser les outils informatiques courants. Permis B souhaité. CDD à temps complet. Lieu de travail : Koné",,recrutement@cap-emploi.nc,"Pour toute information complémentaire concernant cette offre d'emploi, vous pouvez contacter les conseillers du CAP Emploi à l'adresse suivante : <a href=""mailto:recrutement@cap-emploi.nc?subject=Offre%20ODE%20%23147289%20-%201%20Commercial"">recrutement@cap-emploi.nc</a>. En cliquant sur ce lien, l'objet de votre message est automatiquement renseigné avec la référence de l'offre. Sinon, merci d'indiquer impérativement le n° de l'offre dans votre message, sans quoi votre demande ne pourra pas être traitée.",ODE,,,,,,,,D1407
20260619003a,1 Chef du service milieux et ressources aquatiques,1,ACTIVE,M1301,2026-06-12 11:00:00+11:00,KONE,CDD,0,0,0,false,7,false,true,false,2026-06-19 15:00:29+11:00,2026-06-19 15:00:29+11:00,,"<b>1 Chef du service milieux et ressources aquatiques (H/F)</b>, sera chargé de la coordination de la mise en œuvre des orientations stratégiques dans les secteurs des pêches, de l’aquaculture, de la gestion des ressources aquatiques et de l’environnement marin, en lien avec les agents chargés des secteurs ; du montage, de l’instruction et du suivi de certains projets en lien avec les agents chargés des secteurs ; de l’animation et de l’encadrement d’une équipe de cadres et de techniciens, en lien avec les responsables des antennes (services décentralisés) ; de la gestion de la délégation des missions aux agents du service ; de la gestion du service et de ses moyens (budget, matériel, etc.). Titulaire d’un diplôme de niveau 7 dans le domaine. Être titulaire de 5 ans d’expérience minimum dans un poste et contexte similaire. Connaissance des contextes socio-économique, foncier et environnemental de la Province Nord. Connaissance du contexte des filières aquacoles et des pêches, de l’environnement marin ainsi que du contexte institutionnel et réglementaire en Nouvelle-Calédonie. Connaissance en économie d’entreprise. Connaissance dans l’analyse d’études d’impact environnementales. Maîtrise de la langue anglaise. Gestion en mode projet et gestion participative. Expérience en concertation territoriale. Expérience avérée en management et animation d’une équipe. Bonne capacité de synthèse des informations, de rédaction de rapports, notes et tableaux de bord. Sens des relations humaines. Sens du travail en équipe et du reporting. Bonne adaptation à des situations et des interlocuteurs variés. Sens de l’écoute et de la diplomatie. Esprit de rigueur, d’autonomie et d’initiative. Permis B exigé. CDD à temps complet. Lieu de travail : Koné",,recrutement@cap-emploi.nc,"Pour toute information complémentaire concernant cette offre d'emploi, vous pouvez contacter les conseillers du CAP Emploi à l'adresse suivante : <a href=""mailto:recrutement@cap-emploi.nc?subject=Offre%20ODE%20%23147276%20-%201%20Chef%20du%20service%20milieux%20et%20ressources%20aquatiques"">recrutement@cap-emploi.nc</a>. En cliquant sur ce lien, l'objet de votre message est automatiquement renseigné avec la référence de l'offre. Sinon, merci d'indiquer impérativement le n° de l'offre dans votre message, sans quoi votre demande ne pourra pas être traitée.",ODE,,,,,,,,M1301
202606194156,1 Responsable magasin,1,ACTIVE,D1301,2026-06-18 11:00:00+11:00,KONE,CDD,0,0,0,false,5,false,true,false,2026-06-19 15:00:29+11:00,2026-06-19 15:00:29+11:00,,"<b>1 Responsable magasin (H/F)</b>, sera chargé d’assurer l'accueil, le conseil et la fidélisation de la clientèle ; développer l'activité commerciale du magasin ; identifier les besoins des clients et proposer les solutions adaptées ; établir les devis, commandes, factures et assurer leur suivi ; gérer les stocks, les approvisionnements et les inventaires ; veiller à la bonne tenue et à l'attractivité du magasin ; mettre en place les opérations commerciales et promotions ; assurer le suivi des commandes et des livraisons ; garantir le respect des procédures administratives et commerciales ; être force de proposition pour développer l'activité locale. Titulaire Bac +2 exigé. Minimum 2 ans d'expérience professionnelle dans un secteur d'activité similaire exigée. Les atouts qui feront la différence : Expérience dans la gestion d'un magasin ou d'un centre de profit. Expérience dans la vente de pièces détachées ou de produits techniques. Connaissances en mécanique automobile, équipements de garage ou pièces détachées. Expérience auprès d'une clientèle de professionnels. Être autonome, rigoureux et organisé. Posséder un fort sens du commerce et de la relation client. Apprécier les responsabilités et la polyvalence. Savoir gérer vos priorités et prendre des initiatives. Avoir le sens du résultat et de la satisfaction client. Maîtriser les outils informatiques courants. Permis B souhaité. CDD à temps complet. Lieu de travail : Koné",,recrutement@cap-emploi.nc,"Pour toute information complémentaire concernant cette offre d'emploi, vous pouvez contacter les conseillers du CAP Emploi à l'adresse suivante : <a href=""mailto:recrutement@cap-emploi.nc?subject=Offre%20ODE%20%23147288%20-%201%20Responsable%20magasin"">recrutement@cap-emploi.nc</a>. En cliquant sur ce lien, l'objet de votre message est automatiquement renseigné avec la référence de l'offre. Sinon, merci d'indiquer impérativement le n° de l'offre dans votre message, sans quoi votre demande ne pourra pas être traitée.",ODE,,,,,,,,D1301
20260619ce0a,1 Vendeur comptoir expérimenté,1,ACTIVE,D1213,2026-06-18 11:00:00+11:00,KONE,CDD,0,0,0,false,4,false,true,false,2026-06-19 15:00:29+11:00,2026-06-19 15:00:29+11:00,,"<b>1 Vendeur comptoir expérimenté (H/F)</b>, sera chargé d’accueillir, renseigner et conseiller les clients au comptoir et par téléphone ; identifier les besoins en pièces détachées, consommables et équipements d'atelier ; rechercher les références produites et proposer les solutions adaptées ; établir les devis, pro-forma, bons de commande et bons de livraison ; assurer les encaissements, la facturation et le suivi administratif des ventes ; gérer les commandes clients et assurer leur suivi jusqu'à la livraison ; veiller à la bonne tenue du magasin et à la qualité de la présentation des produits ; participer à la gestion des stocks, aux réapprovisionnements et aux inventaires ; mettre en place les opérations promotionnelles et contribuer au développement commercial du point de vente ; assurer le bon fonctionnement quotidien du magasin dans le respect des procédures de l'entreprise. Titulaire d’un BAC exigé. Minimum 2 ans d'expérience professionnelle dans un secteur d'activité similaire exigée. Être autonome, organisé et capable de gérer vos priorités. Avoir un excellent sens du service et de la relation client. Faire preuve de rigueur, d'initiative et de réactivité. Apprécier les postes polyvalents et les responsabilités. Posséder un bon esprit d'équipe tout en étant capable de travailler seul. Maîtriser les outils informatiques courants. Les atouts qui feront la différence : Expérience dans la vente de pièces détachées automobiles ou de produits techniques. Connaissances en mécanique automobile et/ou en équipements de garage. Expérience dans la gestion autonome d'un point de vente ou d'un magasin. Permis B exigé. CDD à temps complet. Lieu de travail : Koné",,recrutement@cap-emploi.nc,"Pour toute information complémentaire concernant cette offre d'emploi, vous pouvez contacter les conseillers du CAP Emploi à l'adresse suivante : <a href=""mailto:recrutement@cap-emploi.nc?subject=Offre%20ODE%20%23147287%20-%201%20Vendeur%20comptoir%20exp%C3%A9riment%C3%A9"">recrutement@cap-emploi.nc</a>. En cliquant sur ce lien, l'objet de votre message est automatiquement renseigné avec la référence de l'offre. Sinon, merci d'indiquer impérativement le n° de l'offre dans votre message, sans quoi votre demande ne pourra pas être traitée.",ODE,,,,,,,,D1213
202606199fa9,1 Gestionnaire du parc automobile,1,ACTIVE,I1103,2026-06-12 11:00:00+11:00,KONE,CDD,0,0,0,false,SANS_DIPLOME,false,true,false,2026-06-19 15:00:28+11:00,2026-06-19 15:00:28+11:00,,"<b>1 Gestionnaire du parc automobile (H/F)</b>, sera chargé d’assurer la gestion du PARKOTO de KONE et de ses sites décentralisés (Voh et Poya) ; organiser l'utilisation des véhicules et la gestion des déplacements selon les besoins ; assurer la comptabilité et le suivi / entretien / maintenance du parc et de ses sites décentralisés ; assurer la suppléance des référents carburant et sinistres ; participer à la mise en application du plan de gestion de la flotte ; assister et conseiller le chef de service pour le renouvellement des véhicules et dans le cadre des ventes aux enchères publiques ; réceptionner les véhicules neufs et vérifier leur conformité avec la commande ; être le référent PCEPN (Plan Climat Energie de la Province Nord) pour la DAJAP ; assurer la suppléance des gestionnaires des parkotos ; Baccalauréat exigé. Connaissance de WORD / EXCEL. Connaissance du logiciel ASTRE. Connaissances mécaniques appréciées. Rigueur. Réactivité. Sens du travail en équipe. Sens de l’organisation. Permis B exigé. CDD à temps complet. Lieu de travail : Koné",,recrutement@cap-emploi.nc,"Pour toute information complémentaire concernant cette offre d'emploi, vous pouvez contacter les conseillers du CAP Emploi à l'adresse suivante : <a href=""mailto:recrutement@cap-emploi.nc?subject=Offre%20ODE%20%23147274%20-%201%20Gestionnaire%20du%20parc%20automobile"">recrutement@cap-emploi.nc</a>. En cliquant sur ce lien, l'objet de votre message est automatiquement renseigné avec la référence de l'offre. Sinon, merci d'indiquer impérativement le n° de l'offre dans votre message, sans quoi votre demande ne pourra pas être traitée.",ODE,,,,,,,,I1103
202606190241,1 Mécanicien sur engins minier - Kaala Gomen,1,ACTIVE,I1603,2026-06-11 11:00:00+11:00,KAALA-GOMEN,CDI,0,0,0,false,3,false,true,false,2026-06-19 15:00:28+11:00,2026-06-19 15:00:28+11:00,,"<b>1 Mécanicien sur engins minier (H/F)</b>, sera chargé de garantir la sécurité des biens et des personnes ; diagnostiquer et réparer les pannes ; entretenir les engins ; réparer l’outillage et faire le reporting. CAP à BAC Pro en mécanique d’engins, maintenance des matériels et expérience professionnelle de 5 ans minimum sur un poste similaire exigés. Connaissances spécifiques sur les systèmes mécaniques, hydrauliques, électriques et électroniques des engins Caterpillar, maîtrise des consignes de sécurité et des procédures de maintenance, connaissance pratique des logiciels de diagnostic SIS et AX. Capacité à diagnostiquer des pannes et à évaluer la meilleure solution de réparation, maîtrise des techniques de démontage, réparation et remontage des organes d’engins et des opérations d’entretien préventif et courant des équipements. Permis B obligatoire. Logement non fourni. CDI à temps complet. Lieu de travail : Kaala-Gomen (Ouaco).",,recrutement@cap-emploi.nc,"Pour toute information complémentaire concernant cette offre d'emploi, vous pouvez contacter les conseillers du CAP Emploi à l'adresse suivante : <a href=""mailto:recrutement@cap-emploi.nc?subject=Offre%20ODE%20%23147272%20-%201%20M%C3%A9canicien%20sur%20engins%20minier%20-%20Kaala%20Gomen"">recrutement@cap-emploi.nc</a>. En cliquant sur ce lien, l'objet de votre message est automatiquement renseigné avec la référence de l'offre. Sinon, merci d'indiquer impérativement le n° de l'offre dans votre message, sans quoi votre demande ne pourra pas être traitée.",ODE,,,,,,,,I1603
20260619dac5,1 Technicien service,1,ACTIVE,I1310,2026-06-12 11:00:00+11:00,KOUMAC,CDI,0,0,0,false,3,false,true,false,2026-06-19 15:00:28+11:00,2026-06-19 15:00:28+11:00,,"<b>1 Technicien service (H/F)</b>, sera chargé de réaliser les opérations de maintenance préventive et curative sur les machines conformément aux règles, aux standards et aux normes en vigueur ; effectuer les diagnostics de pannes sur les machines conformément aux règles, aux standards et aux normes en vigueur ; collecter, contrôler et transmettre les informations liées aux opérations de maintenance réalisées ou à prévoir ; rédiger les rapports des interventions et participer à la gestion de stock des pièces détachées ; animer la sécurité des personnes et des biens placés sous sa responsabilité. BAC Pro maintenance avec minimum 3 ans d’expérience sur un poste similaire ou CAP/ BEP maintenance avec plus de 6 ans d’expérience. Bonne connaissance des logiciels de maintenance et maîtrise des outils bureautiques. Solides compétences en mécanique, électricité, hydraulique et électronique. Bonne maîtrise de la lecture de schémas techniques. Permis B exigé et CACES 10, CACES nacelle, permis C appréciés. CDI à temps complet. Lieu de travail : Koumac.",,recrutement@cap-emploi.nc,"Pour toute information complémentaire concernant cette offre d'emploi, vous pouvez contacter les conseillers du CAP Emploi à l'adresse suivante : <a href=""mailto:recrutement@cap-emploi.nc?subject=Offre%20ODE%20%23147273%20-%201%20Technicien%20service"">recrutement@cap-emploi.nc</a>. En cliquant sur ce lien, l'objet de votre message est automatiquement renseigné avec la référence de l'offre. Sinon, merci d'indiquer impérativement le n° de l'offre dans votre message, sans quoi votre demande ne pourra pas être traitée.",ODE,,,,,,,,I1310
202606198cf1,1 Animateur terrain - sensibilisation à la préservation du dugong et des tortues,1,ACTIVE,A1303,2026-06-29 11:00:00+11:00,KONE,CDI,0,0,0,false,5,false,true,false,2026-06-19 15:00:27+11:00,2026-06-19 15:00:27+11:00,,"<b>1 Animateur terrain – sensibilisation à la préservation du dugong et des tortues (H/F)</b>, sera chargé de déployer des actions de sensibilisation sur les dugongs et les tortues auprès des publics et des acteurs locaux en Nouvelle-Calédonie; Assurera sa mission sous la supervision de la coordinatrice du pôle Marin. Bac+2 dans les domaines de la communication, de l’animation socio-éducative, de l’environnement ou équivalent (BTS communication, BTSA Gestion et Protection de la Nature, DUT métiers de la communication…). A défaut, formation professionnelle et/ou expérience significative en animation de terrain, sensibilisation du public et communication associative. Expérience en animation, sensibilisation ou médiation appréciée. Permis B indispensable (Forte mobilité - déplacements sur tout le territoire). Lieu de travail : Koné.",,recrutement@cap-emploi.nc,"Pour toute information complémentaire concernant cette offre d'emploi, vous pouvez contacter les conseillers du CAP Emploi à l'adresse suivante : <a href=""mailto:recrutement@cap-emploi.nc?subject=Offre%20ODE%20%23147242%20-%201%20Animateur%20terrain%20-%20sensibilisation%20%C3%A0%20la%20pr%C3%A9servation%20du%20dugong%20et%20des%20tortues"">recrutement@cap-emploi.nc</a>. En cliquant sur ce lien, l'objet de votre message est automatiquement renseigné avec la référence de l'offre. Sinon, merci d'indiquer impérativement le n° de l'offre dans votre message, sans quoi votre demande ne pourra pas être traitée.",ODE,,,,,,,,A1303
20260619ce14,2 Enseignants suppléants annualisés LCK -55-2026 / DEFIJ,2,ACTIVE,K2106,2027-02-12 11:00:00+11:00,CANALA,CDD,0,11,0,false,4,false,true,false,2026-06-19 15:00:25+11:00,2026-06-19 15:00:25+11:00,,"<b>2 Enseignants suppléants annualisés LCK - Xârâcùù (H/F)</b>, seront en charge de dispenser un enseignement en langue kanak et contribuer à l’enseignement de la culture et à l’apprentissage des langues kanak auprès des élèves d’une ou plusieurs écoles, en étroite collaboration avec les enseignants des classes concernées. Ils garantissent l’éveil progressif des capacités de réflexion, d’expression et de communication de l’enfant selon des méthodes pédagogiques adaptées. Pendant le temps scolaire, ils s’assurent de la sécurité physique et psycho affective des élèves dont ils ont la charge. Ils doivent mettre tout en œuvre pour assurer la sécurité et le bien-être de chaque enfant. Les enseignants remplaçants servent sous l’autorité administrative de la DEFIJ et pédagogique de l’inspecteur de l’enseignement primaire de la circonscription. BAC Général souhaité ou Licence en Langue Océanienne. Expérience exigée de 2 ans minimum dans les domaines de l’enseignement et ou de l’animation. Être capable de proposer des situations d’enseignement- apprentissage en lien avec le programme du maitre de classe. Savoir construire les apprentissages sur la polyvalence du maître et de l’équipe. Maîtriser la conduite d’une classe et susciter l’intérêt et la participation des élèves. Adapter l’enseignement à la diversité des élèves et apporter à chacun l’appui nécessaire. Disponibilité. Aptitude à l’éducation. Sens du travail en équipe. CDD à temps complet. Lieu de travail : Canala",,recrutement@cap-emploi.nc,"Pour toute information complémentaire concernant cette offre d'emploi, vous pouvez contacter les conseillers du CAP Emploi à l'adresse suivante : <a href=""mailto:recrutement@cap-emploi.nc?subject=Offre%20ODE%20%23147211%20-%202%20Enseignants%20suppl%C3%A9ants%20annualis%C3%A9s%20LCK%20-55-2026%20%2F%20DEFIJ"">recrutement@cap-emploi.nc</a>. En cliquant sur ce lien, l'objet de votre message est automatiquement renseigné avec la référence de l'offre. Sinon, merci d'indiquer impérativement le n° de l'offre dans votre message, sans quoi votre demande ne pourra pas être traitée.",ODE,,,,,,,,K2106
